"area","coleccion","extension","size_kb","path"
"Ciencias Naturales","ICFES Filtrados",".pdf","1547,1","07. ICFES FILTRADOS\2003\Marzo\Biologia.pdf"
"Ciencias Naturales","ICFES Filtrados",".pdf","381,74","07. ICFES FILTRADOS\2003\Marzo\Fisica Profundizacion.pdf"
"Ciencias Naturales","ICFES Filtrados",".pdf","870,12","07. ICFES FILTRADOS\2003\Septiembre\Biologia Profundizacion.pdf"
"Ciencias Naturales","ICFES Filtrados",".xls","19","07. ICFES FILTRADOS\2003\Septiembre\Respuestas biologia.xls"
"Ciencias Naturales","ICFES Filtrados",".xls","18","07. ICFES FILTRADOS\2003\Septiembre\Respuestas fisica Profundización.xls"
"Ciencias Naturales","ICFES Filtrados",".xls","17","07. ICFES FILTRADOS\2003\Septiembre\Respuestas quimica Profundización.xls"
"Ciencias Naturales","ICFES Filtrados",".xls","25,5","07. ICFES FILTRADOS\2003\Septiembre\Respuestas quimica.xls"
"Ciencias Naturales","ICFES Filtrados",".pdf","682,43","07. ICFES FILTRADOS\2004\Abril\Biologia profundización.pdf"
"Ciencias Naturales","ICFES Filtrados",".pdf","1002,58","07. ICFES FILTRADOS\2004\Abril\Biologia.pdf"
"Ciencias Naturales","ICFES Filtrados",".pdf","660,58","07. ICFES FILTRADOS\2004\Abril\Quimica.pdf"
"Ciencias Naturales","ICFES Filtrados",".pdf","918,75","07. ICFES FILTRADOS\2021\ICFES CALENDARIO B\Ciencias Sociales 1.pdf"
"Ciencias Naturales","Libros Recomendados",".pdf","38721,03","08. LIBROS RECOMENDADOS\Más Libros\Ciencias Naturales\Física\1 - Física BGU.pdf"
"Ciencias Naturales","Libros Recomendados",".pdf","32978,39","08. LIBROS RECOMENDADOS\Más Libros\Ciencias Naturales\Física\2 - Física BGU.pdf"
"Ciencias Naturales","Libros Recomendados",".pdf","22592,21","08. LIBROS RECOMENDADOS\Más Libros\Ciencias Naturales\Física\3 - Física BGU.pdf"
"Ciencias Naturales","Libros Recomendados",".pdf","33286","08. LIBROS RECOMENDADOS\Más Libros\Ciencias Naturales\Química\2 - Química BGU.pdf"
"Ciencias Naturales","Libros Recomendados",".pdf","445654,82","08. LIBROS RECOMENDADOS\Más Libros\Ciencias Naturales\Química\3 - Química BGU.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","2013,72","10. OTRA PREPACIÓN\Banco de Preguntas\Ciencias Naturales\Respuestas_Quimica.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","2132,35","10. OTRA PREPACIÓN\Banco de Preguntas\Ciencias Naturales\Saber 11- Ciencias naturales.pdf"
"Ciencias Naturales","Otra Preparacion",".docx","1919,56","10. OTRA PREPACIÓN\Ejercicios resueltos estudiantes\Emanuel Betancur\Ciencias naturales .docx"
"Ciencias Naturales","Otra Preparacion",".pdf","1293,42","10. OTRA PREPACIÓN\Ejercicios resueltos estudiantes\Emanuel Betancur\Ciencias naturales .pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","579,34","10. OTRA PREPACIÓN\Ejercicios resueltos estudiantes\Emanuel Betancur\Ciencias sociales y ciudadanas.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","1474,32","10. OTRA PREPACIÓN\Resúmenes por área\Ciencias sociales y ciudadanas\1. Los primeros pobladores Colombia.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","10074,84","10. OTRA PREPACIÓN\Resúmenes por área\Ciencias sociales y ciudadanas\3. La independencia.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","201,74","10. OTRA PREPACIÓN\Resúmenes por área\Ciencias sociales y ciudadanas\5. El Estado y sus formas de gobierno.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","364,54","10. OTRA PREPACIÓN\Resúmenes por área\Ciencias sociales y ciudadanas\6. Los derechos humanos.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","1179,97","10. OTRA PREPACIÓN\Temas\Ciencias sociales y ciudadanas\7. Geografía.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","1117,13","10. OTRA PREPACIÓN\Temas\Ciencias sociales y ciudadanas\9.2 Guerra de la Independencia española.pdf"
"Ciencias Naturales","Otra Preparacion",".pdf","5591,75","10. OTRA PREPACIÓN\Temas\Ciencias sociales y ciudadanas\9.5 Segunda guerra mundial.pdf"
"Ciencias Naturales","Simulacros",".pdf","3799,18","04. SIMULACROS\CIENCIAS\General\08\cuadernillo_apoyo.pdf pruebas saber.pdf"
"Ciencias Naturales","Simulacros",".pdf","463858,2","04. SIMULACROS\CIENCIAS\General\08\doku.pub_competencia-exito-helmer-pardo-pineda-libro-para-la-prueba-icfes.pdf"
"Ciencias Naturales","Simulacros",".pdf","5823,42","04. SIMULACROS\CIENCIAS\General\09\2. Simulacro - Nuevo Expl@rando.pdf"
"Ciencias Naturales","Simulacros",".pdf","1599,06","04. SIMULACROS\SOCIALES\Sociales y competencias\04\11-16-D_Ciencias Sociales Parte I Y II.pdf"
"Ciencias Naturales","Talleres",".pdf","2014,64","05. TALLERES\CIENCIAS\Componente ciencias Naturales\física con rta.pdf"
"Ciencias Naturales","Talleres",".pdf","5143,4","05. TALLERES\CIENCIAS\Componente ciencias Naturales\quimica - teoria practicas.pdf"
"Ciencias Naturales","Talleres",".pdf","4738,76","05. TALLERES\CIENCIAS\Componente ciencias Naturales\Quimica formarte.pdf"
"Ciencias Naturales","Talleres",".docx","1256,04","05. TALLERES\CIENCIAS\Ejercicios Resultos por estudiantes\Ciencias_Naturales_preicfes_Resuelto.docx"
"Ciencias Naturales","Talleres",".pdf","1369,39","05. TALLERES\CIENCIAS\Ejercicios Resultos por estudiantes\Ciencias_Naturales_preicfes_Resuelto.pdf"
"Ciencias Naturales","Talleres",".docx","1426,12","05. TALLERES\CIENCIAS\Ejercicios Resultos por estudiantes\Cuadernillo Ciencias Naturales Examen Diagnostico con respuestas.docx"
"Ciencias Naturales","Talleres",".docx","740,35","05. TALLERES\CIENCIAS\Ejercicios Resultos por estudiantes\Preguntas tipo icfes Ciencias naturales.docx"
"Ciencias Naturales","Talleres",".pdf","1519,2","05. TALLERES\SOCIALES\Ejercicios Resueltos por estudiantes\Preguntas_ICFES_CienciasSociales.pdf"
"Filosofia","ICFES Filtrados",".xls","17","07. ICFES FILTRADOS\2003\Septiembre\Respuestas filosofia Profundización.xls"
"Filosofia","ICFES Filtrados",".pdf","159,2","07. ICFES FILTRADOS\2006\Filosofía\2.pdf"
"General/No clasificado","ICFES Filtrados",".pdf","135,83","07. ICFES FILTRADOS\2003\Marzo\Medios de comunicacion y cultura.pdf"
"General/No clasificado","ICFES Filtrados",".xls","81,5","07. ICFES FILTRADOS\2003\Marzo\Respuestas.xls"
"General/No clasificado","ICFES Filtrados",".pdf","397,84","07. ICFES FILTRADOS\2003\Septiembre\Química Profundización.pdf"
"General/No clasificado","ICFES Filtrados",".pdf","470,19","07. ICFES FILTRADOS\2003\Septiembre\Química.pdf"
"General/No clasificado","ICFES Filtrados",".pdf","4778,84","07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2 CON RESPUESTAS.pdf"
"General/No clasificado","ICFES Filtrados",".pdf","2350,71","07. ICFES FILTRADOS\2018\Icfes 2018\Calendario A\Segunda sesión\2018-2.pdf"
"General/No clasificado","ICFES Filtrados",".pdf","2306,6","07. ICFES FILTRADOS\2021\ICFES CALENDARIO B\CCNN MARZO 2021.pdf"
"General/No clasificado","ICFES Filtrados",".pdf","36844,12","07. ICFES FILTRADOS\2021\ICFES CALENDARIO B\NATURALES MARCADAS.pdf"
"General/No clasificado","ICFES Filtrados",".png","629,08","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\02.png"
"General/No clasificado","ICFES Filtrados",".png","1017,87","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\06.png"
"General/No clasificado","ICFES Filtrados",".png","907,85","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\20.png"
"General/No clasificado","ICFES Filtrados",".png","1633,03","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG 01\44.png"
"General/No clasificado","ICFES Filtrados",".png","884,67","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\04.png"
"General/No clasificado","ICFES Filtrados",".png","917,9","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\05.png"
"General/No clasificado","ICFES Filtrados",".png","1176,33","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\11.png"
"General/No clasificado","ICFES Filtrados",".png","1106,9","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\15.png"
"General/No clasificado","ICFES Filtrados",".png","1098,65","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\16.png"
"General/No clasificado","ICFES Filtrados",".png","824,47","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\23.png"
"General/No clasificado","ICFES Filtrados",".png","1148,26","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\26.png"
"General/No clasificado","ICFES Filtrados",".png","1018,41","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\31.png"
"General/No clasificado","ICFES Filtrados",".png","1074,72","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\33.png"
"General/No clasificado","ICFES Filtrados",".png","1289,12","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\34.png"
"General/No clasificado","ICFES Filtrados",".png","1043,55","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\40.png"
"General/No clasificado","ICFES Filtrados",".png","1080,43","07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\42.png"
"General/No clasificado","ICFES Filtrados",".pdf","11776,08","07. ICFES FILTRADOS\2025\Icfes Calendario A y B\Calendario B.pdf"
"General/No clasificado","ICFES Filtrados",".jpg","3784,29","07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0001.jpg"
